periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,infant mortality rate,region
2014,2014,2014,,lgZ6HfZaj3f,Arusha City Council,,,4.3,Arusha
2014,2014,2014,,zHa2ohFrpPM,Arusha District Council,,,0,Arusha
2014,2014,2014,,YtVMnut7Foe,Arusha Region,,,2.1,Arusha
2014,2014,2014,,L5AfyN2zxns,Babati District Council,,,1.3,Babati
2014,2014,2014,,cnsiTXSJqqF,Babati Town Council,,,0.21,Babati
2014,2014,2014,,uPphu8kRXoZ,Bagamoyo District Council,Bagamoyo District Counci,,0,Bagamoyo
2014,2014,2014,,Ak1TMj0oYc7,Bahi District Council,,,0,Bahi
2014,2014,2014,,Q16E1rzDnVD,Bariadi District Council,,,0,Bariadi
2014,2014,2014,,Yb483pDzzWj,Bariadi Town Council,,,0,Bariadi
2014,2014,2014,,yz7jPBCDXlX,Biharamulo District Council,,,0.78,Biharamulo
2014,2014,2014,,yPCs2xE66we,Buhigwe District Council,,,0,Buhigwe
2014,2014,2014,,LoPF5WqswyW,Bukoba District Council,,,0,Bukoba
2014,2014,2014,,PM74xoecSpJ,Bukoba Municipal Council,,,0.19,Bukoba
2014,2014,2014,,plSLZJGUHZb,Bukombe District Council,,,0,Bukombe
2014,2014,2014,,gu92DYtO3ii,Bumbuli District Council,,,0,Bumbuli
2014,2014,2014,,ouZ5YpZ4T3a,Bunda District Council,,,0,Bunda
2014,2014,2014,,I58Bh8dN2sO,Busega District Council,,,0,Busega
2014,2014,2014,,xVzeWrXHf81,Busokelo District Council,,,0,Busokelo
2014,2014,2014,,btLScg6XCBN,Butiama District Council,,,0.2,Butiama
2014,2014,2014,,yiR1QdOwPqP,Chamwino District Council,,,0.64,Chamwino
2014,2014,2014,,IZAkMaffRh8,Chato District Council,,,0,Chato
2014,2014,2014,,Fez1Dp8bXSk,Chemba District Council,,,0,Chemba
2014,2014,2014,,L9scGbK6d61,Chunya District Council,,,1.2,Chunya
2014,2014,2014,,acZHYslyJLt,Dar Es Salaam Region,,,0.93,Dar
2014,2014,2014,,OzGGHqXQn5p,Dodoma Municipal Council,,,0,Dodoma
2014,2014,2014,,Cpd5l15XxwA,Dodoma Region,,,0.1,Dodoma
2014,2014,2014,,yh0b4OAgg8z,Gairo District Council,,,0,Gairo
2014,2014,2014,,saOGTLvMX4F,Geita District Council,,,0.05,Geita
2014,2014,2014,,MAL4cfZoFhJ,Geita Region,,,0.02,Geita
2014,2014,2014,,fSZfOuCkmAb,Geita Town council,,,0,Geita
2014,2014,2014,,MiLb81EwC7j,Hai District Council,,,0,Hai
2014,2014,2014,,xRx7W86ElUH,Hanang District Council,,,1.4,Hanang
2014,2014,2014,,DkxlFk8MuM7,Handeni District Council,,,0,Handeni
2014,2014,2014,,fogigwn9cW7,Igunga District Council,,,0,Igunga
2014,2014,2014,,dFCrIa5paz7,Ikungi District Council,,,0.13,Ikungi
2014,2014,2014,,xe93MrFXOYV,Ilala Municipal Council,,,0,Ilala
2014,2014,2014,,wsCWwNbLJNY,Ileje District Council,,,2.7,Ileje
2014,2014,2014,,et6lWc8GDHy,Ilemela Municipal Council,,,0,Ilemela
2014,2014,2014,,tNFOa31xGhu,Iramba District Council,,,1.5,Iramba
2014,2014,2014,,tcZz4Bh4mqc,Iringa District Council,,,0.26,Iringa
2014,2014,2014,,vo788oc0NEn,Iringa Municipal Council,,,0,Iringa
2014,2014,2014,,sWOWPBvwNY2,Iringa Region,,,0.06,Iringa
2014,2014,2014,,bDteRg6tH0A,Itilima District Council,,,0,Itilima
2014,2014,2014,,Crkg9BoUo5w,Kagera Region,,,0.28,Kagera
2014,2014,2014,,AiyppObGUqI,Kahama Town Council,,,0,Kahama
2014,2014,2014,,T3A9X81ABG3,Kakonko District Council,,,0,Kakonko
2014,2014,2014,,QeMjl7Ld0Vj,Kalambo District Council,,,0,Kalambo
2014,2014,2014,,PEIzWSzWQ7S,Kaliua District Council,,,0,Kaliua
2014,2014,2014,,YFPElmUhUok,Karagwe District Council,,,0.44,Karagwe
2014,2014,2014,,QKEr8DFutO8,Karatu District Council,,,0.53,Karatu
2014,2014,2014,,zfwo4rq1XC3,Kasulu District Council,,,0.9,Kasulu
2014,2014,2014,,IfQ2Sjbfdme,Kasulu Town Council,,,0,Kasulu
2014,2014,2014,,DWSo42hunXH,Katavi Region,,,0.3,Katavi
2014,2014,2014,,N8oGVhuoUcK,Kibaha District Council,,,0.3,Kibaha
2014,2014,2014,,QekURU8eIU0,Kibaha Town Council,,,0,Kibaha
2014,2014,2014,,duES2Gfgvpw,Kibondo District Council,,,0.42,Kibondo
2014,2014,2014,,lQOxGNRaklm,Kigoma District Council,,,0,Kigoma
2014,2014,2014,,dIiTyLaZAEb,Kigoma Municipal Council,,,3.3,Kigoma
2014,2014,2014,,RD96nI1JXVV,Kigoma Region,,,0.74,Kigoma
2014,2014,2014,,lnOyHhoLzre,Kilimanjaro Region,,,0.03,Kilimanjaro
2014,2014,2014,,mKI72g04l0D,Kilindi District Council,,,0,Kilindi
2014,2014,2014,,xBWOfftpkLT,Kilolo District Council,,,0,Kilolo
2014,2014,2014,,oMao5qA3DBy,Kilombero District Council,,,0,Kilombero
2014,2014,2014,,GbVBjR8A7aK,Kilosa District Council,,,0.08,Kilosa
2014,2014,2014,,dGtH1WiNUrP,Kilwa District Council,,,0.32,Kilwa
2014,2014,2014,,ts6eEeUjcfO,Kinondoni Municipal Council,,,2.8,Kinondoni
2014,2014,2014,,SnczTnCrk6d,Kisarawe District Council,Kisarawe District council,,0,Kisarawe
2014,2014,2014,,kISvf8gGZMm,Kishapu District Council,,,0.13,Kishapu
2014,2014,2014,,P1TuGaaZ981,Kiteto District Council,,,0.28,Kiteto
2014,2014,2014,,yTTjcYh4xqa,Kondoa District Council,,,0,Kondoa
2014,2014,2014,,DTc1rxSmlde,Kongwa District Council,,,0,Kongwa
2014,2014,2014,,QBC1po2JaJW,Korogwe District Council,,,0,Korogwe
2014,2014,2014,,qHJkyM0bG8U,Korogwe Town Council,,,0,Korogwe
2014,2014,2014,,O8O3HQdJWHX,Kwimba District Council,,,0.2,Kwimba
2014,2014,2014,,dWfRpHKykpk,Kyela District Council,,,1.1,Kyela
2014,2014,2014,,LdzOZ9hNTwH,Kyerwa District Council,,,0.14,Kyerwa
2014,2014,2014,,sjKfO239rjD,Lindi District Council,,,0,Lindi
2014,2014,2014,,aiZstwpkrny,Lindi Municipal Council,,,0,Lindi
2014,2014,2014,,VMgrQWSVIYn,Lindi Region,,,0.12,Lindi
2014,2014,2014,,ZszYGa2Vnyc,Liwale District Council,,,0.36,Liwale
2014,2014,2014,,aQEZnk4RzKv,Longido District Council,,,1.4,Longido
2014,2014,2014,,aa5sxEFiAwN,Ludewa District Council,,,0.46,Ludewa
2014,2014,2014,,ilY7TEjviqa,Lushoto District Council,,,0,Lushoto
2014,2014,2014,,GI57B0uNPOX,Mafia District Council,Mafia District Council,,1.6,Mafia
2014,2014,2014,,chzBato6xed,Mafinga Town Council,,,,Mafinga
2014,2014,2014,,Kug5uWxs0mu,Magu District Council,,,0,Magu
2014,2014,2014,,cirtJ7KuNU0,Makambako Town Council,,,0,Makambako
2014,2014,2014,,NzvekEmEzUG,Makete District Council,,,0,Makete
2014,2014,2014,,qg5ySBw9X5l,Manyara Region,,,0.71,Manyara
2014,2014,2014,,uHp3aLKA6Tn,Manyoni District Council,,,0,Manyoni
2014,2014,2014,,vYT08q7Wo33,Mara Region,,,0.2,Mara
2014,2014,2014,,rrHtwyYjprs,Masasi District Council,,,0,Masasi
2014,2014,2014,,tLzrq5IZ23W,Masasi Town Council,,,0,Masasi
2014,2014,2014,,mbXn83McbCh,Maswa District Council,,,0,Maswa
2014,2014,2014,,AvfNRAIsvhg,Mbarali District Council,,,0,Mbarali
2014,2014,2014,,e3ATlebHNrD,Mbeya City Council,,,0.07,Mbeya
2014,2014,2014,,N5FKtARi6dB,Mbeya District Council,,,0,Mbeya
2014,2014,2014,,A3b5mw8DJYC,Mbeya Region,,,0.39,Mbeya
2014,2014,2014,,WB7EAwS3F8N,Mbinga District Council,,,0,Mbinga
2014,2014,2014,,RCDM6DotMZw,Mbogwe District Council,,,0,Mbogwe
2014,2014,2014,,aouUIozrc7I,Mbozi District Council,,,0.07,Mbozi
2014,2014,2014,,C96DDKK03pu,Mbulu District Council,,,0.21,Mbulu
2014,2014,2014,,vJY7WRfb5Hc,Meatu District Council,,,0,Meatu
2014,2014,2014,,uafqZbOYpVL,Meru District Council,,,1.3,Meru
2014,2014,2014,,F8NIzb16wVU,Missenyi District Council,,,0,Missenyi
2014,2014,2014,,jAI2fd8kK1z,Misungwi District Council,,,0.56,Misungwi
2014,2014,2014,,Qyg5jjxGeQD,Mkalama District Council,,,0,Mkalama
2014,2014,2014,,B9idcF4fOIW,Mkinga District Council,,,0,Mkinga
2014,2014,2014,,Srvx9L1LGZM,Mkuranga District Council,Mkuranga District Council,,0,Mkuranga
2014,2014,2014,,cjlkhW8VMDO,Mlele District Council,,,0,Mlele
2014,2014,2014,,d07Wtk7brGz,Momba District Council,,,0,Momba
2014,2014,2014,,D21VsjNL2LB,Monduli District Council,,,0,Monduli
2014,2014,2014,,G2obPNftMUt,Morogoro District Council,,,1.4,Morogoro
2014,2014,2014,,nUFAmN93pH4,Morogoro Municipal Council,,,0,Morogoro
2014,2014,2014,,Sj50oz9EHvD,Morogoro Region,,,0.17,Morogoro
2014,2014,2014,,VMTJLxcFH9o,Moshi District Council,,,0,Moshi
2014,2014,2014,,Y8sOGpb4AFE,Moshi Municipal Council,,,0.1,Moshi
2014,2014,2014,,aVLidCZ2RYk,Mpanda District Council,,,0.56,Mpanda
2014,2014,2014,,jupsOTyKi1W,Mpanda Town Council,,,0,Mpanda
2014,2014,2014,,P5H056daq2I,Mpwapwa District Council,,,0,Mpwapwa
2014,2014,2014,,vQvBfxn7Cjs,Msalala District Council,,,0.17,Msalala
2014,2014,2014,,xOJxkz079Ek,Mtwara District Council,,,0,Mtwara
2014,2014,2014,,PHGm198Hcil,Mtwara Municipal Council,,,0,Mtwara
2014,2014,2014,,bN5q5k5DgLA,Mtwara Region,,,0.35,Mtwara
2014,2014,2014,,ppnbxB0TxjG,Mufindi District Council,,,0,Mufindi
2014,2014,2014,,H2LvCkw2bCO,Muheza District Council,,,0,Muheza
2014,2014,2014,,wIjscdPZF3N,Muleba District Council,,,0,Muleba
2014,2014,2014,,z4dfv9EOq3c,Musoma District Council,,,0.19,Musoma
2014,2014,2014,,bKA4yc2NUxA,Musoma Municipal Council,,,0,Musoma
2014,2014,2014,,BVBmQDCexxG,Mvomero District Council,,,0.12,Mvomero
2014,2014,2014,,OHu1VHzyA0x,Mwanga District Council,,,0,Mwanga
2014,2014,2014,,hAFRrgDK0fy,Mwanza Region,,,0.1,Mwanza
2014,2014,2014,,W884lMlfpca,Nachingwea District Council,,,0,Nachingwea
2014,2014,2014,,XL0luikY9oG,Namtumbo District Council,,,0,Namtumbo
2014,2014,2014,,PvqxGEssig9,Nanyumbu District Council,,,0,Nanyumbu
2014,2014,2014,,IYqT1Xik8Bj,Newala District Council,,,0,Newala
2014,2014,2014,,XLrownkhsKI,Ngara District Council,,,0.36,Ngara
2014,2014,2014,,PHWaJvzTmL8,Ngorongoro District Council,,,0.4,Ngorongoro
2014,2014,2014,,GOmwoDIGL98,Njombe District Council,,,0,Njombe
2014,2014,2014,,qarQhOt2OEh,Njombe Region,,,0.52,Njombe
2014,2014,2014,,QUTWca9YxNb,Njombe Town Council,,,1.4,Njombe
2014,2014,2014,,iEIdCVxSJct,Nkasi District Council,,,0,Nkasi
2014,2014,2014,,PKl52zU7vuH,Nsimbo District Council,,,0,Nsimbo
2014,2014,2014,,f7UPzYMgzVH,Nyamagana Municipal Council,,,0,Nyamagana
2014,2014,2014,,G9VxK1Dmkpc,Nyang'hwale District Council,,,0,Nyang'hwale
2014,2014,2014,,TO89Eu9qoSX,Nyasa District Council,,,0,Nyasa
2014,2014,2014,,WAwWjYYzdkS,Nzega District Council,,,0,Nzega
2014,2014,2014,,rQS2cX4JH88,Pangani District Council,,,0,Pangani
2014,2014,2014,,yyW17iCz9As,Pwani Region,,,0.1,Pwani
2014,2014,2014,,Hob4dzCAW2W,Rombo District Council,,,0,Rombo
2014,2014,2014,,bRz3nu8rSWS,Rorya District Council,,,0,Rorya
2014,2014,2014,,OOplITY83ud,Ruangwa District Council,,,0,Ruangwa
2014,2014,2014,,gncV3iPt6Sk,Rufiji District Council,Rufiji District Council,,0,Rufiji
2014,2014,2014,,vAtZ8a924Lx,Rukwa Region,,,0.78,Rukwa
2014,2014,2014,,dPzNEI2Cxqj,Rungwe District Council,,,0.64,Rungwe
2014,2014,2014,,ZYYX8Q9SGoV,Ruvuma Region,,,0,Ruvuma
2014,2014,2014,,WCTbfnMiNF3,Same District Council,,,0,Same
2014,2014,2014,,IGSrsG5I54W,Sengerema District Council,,,0,Sengerema
2014,2014,2014,,X5MzEu84hUN,Serengeti District Council,,,0.67,Serengeti
2014,2014,2014,,FylvwNXCTAQ,Shinyanga District Council,,,0,Shinyanga
2014,2014,2014,,PF4defRibDi,Shinyanga Municipal Council,,,0.22,Shinyanga
2014,2014,2014,,EO3Ps3ny0Nr,Shinyanga Region,,,0.08,Shinyanga
2014,2014,2014,,aMnC7MINXlM,Siha District Council,,,0,Siha
2014,2014,2014,,mOqc3ajETpA,Sikonge District Council,,,0,Sikonge
2014,2014,2014,,A54bflEH57w,Simanjiro District Council,,,1.2,Simanjiro
2014,2014,2014,,IgTAEKMqKRe,Simiyu Region,,,0,Simiyu
2014,2014,2014,,RHLUbsrsFoE,Singida District Council,,,0,Singida
2014,2014,2014,,V60DkMrlQ5Q,Singida Municipal Council,,,2.4,Singida
2014,2014,2014,,LGTVRhKSn1V,Singida Region,,,0.74,Singida
2014,2014,2014,,LbM25p7KBDP,Songea District Council,,,0,Songea
2014,2014,2014,,VdIZ0pAYfBK,Songea Municipal Council,,,0,Songea
2014,2014,2014,,cb9rqgLXFeh,Sumbawanga District Council,,,0,Sumbawanga
2014,2014,2014,,cZMveFzVrXh,Sumbawanga Municipal Council,,,2.9,Sumbawanga
2014,2014,2014,,Nc1C12TG69d,Tabora Municipal Council,,,0,Tabora
2014,2014,2014,,kZ6RlMnt2bp,Tabora Region,,,0,Tabora
2014,2014,2014,,gOcZSwBmijY,Tandahimba District Council,,,1.9,Tandahimba
2014,2014,2014,,ySuyuvNNFp8,Tanga City Council,,,0,Tanga
2014,2014,2014,,vU0Qt1A5IDz,Tanga Region,,,0,Tanga
2014,2014,2014,,NzVLQOcSJJU,Tarime District Council,,,0,Tarime
2014,2014,2014,,Qp6ocX9ESSa,Tarime Town Council,,,0.69,Tarime
2014,2014,2014,,HIOQoi1aeL8,Temeke Municipal Council,,,0.21,Temeke
2014,2014,2014,,r9NgS2Jsu9I,Tunduru District Council,,,0,Tunduru
2014,2014,2014,,QE0OH5162nV,Ukerewe District Council,,,0,Ukerewe
2014,2014,2014,,Le7ysFRJrMk,Ulanga District Council,,,0,Ulanga
2014,2014,2014,,K8HUKJUZ7aj,Urambo District Council,,,0,Urambo
2014,2014,2014,,WgQHWeMx6Zl,Ushetu District Council,,,0,Ushetu
2014,2014,2014,,dt0Q0NhyPty,Uvinza District Council,,,0,Uvinza
2014,2014,2014,,m2ux1UEElNB,Uyui District Council,,,0,Uyui
2014,2014,2014,,m4ow47nd3DC,Wanging'ombe District Council,,,0,Wanging'ombe
